,price,floor,bedroomCount,netHabitableSurface,constructionYear,facadeCount,floorCount,hasLift,hasGarden,gardenSurface,hasTerrace,terraceSurface,fireplaceExists,hasSwimmingPool,hasAirConditioning,bathroomCount,showerRoomCount,toiletCount,parkingCountIndoor,parkingCountOutdoor,primaryEnergyConsumptionPerSqm,hasDoubleGlazing,BUY_REGULAR,PUBLIC_SALE,APARTMENT,HOUSE,APARTMENT.1,APARTMENT_BLOCK,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE.1,KOT,LOFT,MANOR_HOUSE,MANSION,MIXED_USE_BUILDING,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,Brussels,Flanders,Wallonie,Antwerp,Brussels.1,East Flanders,Flemish Brabant,Hainaut,Limburg,Liège,Luxembourg,Namur,Walloon Brabant,West Flanders,AS_NEW,GOOD,JUST_RENOVATED,NO_COND_INFORMATION,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,HYPER_EQUIPPED,INSTALLED,NOT_INSTALLED,NO_KITCH_INFORMATION,SEMI_EQUIPPED,USA_HYPER_EQUIPPED,USA_INSTALLED,USA_SEMI_EQUIPPED,USA_UNINSTALLED,A,A+,A++,B,C,D,E,F,G,NO_EPC_SCORE
price,1.0,0.0026970793591400105,0.4066545664047592,0.16927588544835384,0.028858288023757755,0.16264656280463116,-0.04689007381190591,-0.015094000681747386,0.09279786951124376,,0.07865180162877901,,-0.0021836551502356994,0.22334487624437183,0.07104179113662315,0.5264338897537771,0.1233168269797617,0.40859136362679693,0.0037211139439874206,0.020183488278318312,-0.012577801898283439,0.03140287951640684,0.03702108964440295,-0.03702108964440339,-0.16272760279835416,0.16272760279835394,-0.15182344170949422,0.1024992685587723,-0.01197501110021326,0.09996113069427946,-0.020051322960035967,0.023471946888121733,0.006786638952722778,0.13823650894400902,0.017048424449369257,-0.09225982396285098,-0.034378805302140644,-0.029576911480163358,-0.022144885138410033,0.012419001521159365,0.04821854068929974,0.04206243761472439,0.038047766891514914,0.0198577579125453,0.0901771472324111,-0.02726753697574281,-0.006813725331838872,0.004556113858156855,0.25170430287183887,0.07201314255515665,0.0008572972643347921,-0.06692124649801316,-0.037788537553953325,0.07201314255515665,-0.03479633718221918,0.02622098335264159,-0.06269982759220732,-0.043875667382165306,-0.07773644041460524,-0.025363810734109597,-0.0427499006203987,0.06954032301951449,0.07980014765570831,0.12010641718838556,-0.046724254608176016,0.033647284812938716,-0.011204598726147244,-0.05585523134033005,-0.0646810758456305,-0.014311386924284967,0.1539058296297744,-0.07481153255866538,-0.04476031520629539,-0.03576998081349815,-0.0761994103019408,0.13194801151125088,-0.018368383684740593,-0.020121621068266034,0.002055582676239214,0.0424343384754295,-0.0008074089690491898,0.007883953425571782,0.028378285750614213,0.002412982140918018,-0.023657165578125236,-0.026200902205444573,-0.059383055447865526,-0.030604541256362486,0.035849523751300606
floor,0.0026970793591400105,1.0,-0.013805216333701324,-0.005145334318718808,0.003844816746505992,-0.011131904446830928,0.035814606157919024,0.016429549551964184,-0.019006489796809505,,0.013144369140331638,,-0.006460592179390166,-0.0036856205262664997,0.0016209899369584633,-0.005851747314882577,0.00028298014318361373,-0.0048511132327110395,-0.00032221095253288424,-6.887263239112529e-05,0.00023053173747800913,-0.013462375410287272,0.0015689670274393714,-0.0015689670274393324,0.02970455462969762,-0.029704554629697608,0.028859574628525068,-0.003977553259179772,-0.002318354625781956,-0.0007439013617841922,-0.0012891764198413225,-0.002085918457511988,-0.00022437733235949132,-0.0025665654347803517,-0.0014254969390581093,0.003333956059112405,-0.005667491112429398,-0.023095177453812683,9.49143731680725e-05,-0.0003832468960420507,-0.0009605467141122585,-0.0023383615350830874,-0.003095825142840907,-0.0006073378585775556,0.007937108021567716,-0.0006486801060191079,-0.002725501757805345,-0.00014505903833087584,-0.008192278909002882,0.009303165209140507,-0.019762647576905674,0.015662344716088752,-0.004681948427877897,0.009303165209140507,-0.007805042221912166,-0.007028788490655607,-0.003282761738297971,-0.005966378714405962,-0.00378865026646622,-0.003114080997514016,0.0540977112243397,-0.004655003004865754,-0.0027936549744982664,-0.0037399169774967674,0.0137206707767247,-0.0020184020793785843,-0.003154668211966014,-0.003911281884764962,-0.006488978729994025,-0.0015591483010334317,-0.002954841947899261,0.014279691973387569,-0.0023216949401309722,-0.00881996236450633,-0.002981785696944832,-0.0012936620036735518,-0.0009424082987053277,-0.0006043033701220328,-0.0003041491876797081,-0.0020951430105889245,-0.0005938314590705181,-0.001038465364484851,-0.002162994127864245,-0.0039365306166728,-0.005297933618493923,0.0014109038627029107,0.023374935688338247,-0.002533106015119556,-0.005727054458887723
bedroomCount,0.4066545664047592,-0.013805216333701324,1.0,0.18451536150446712,-0.1717093622846692,0.2429851650163779,-0.3037081042532222,-0.2993480961962356,0.22034805034963886,,0.006914426082195652,,0.04808584883471128,0.13183041900456288,0.024309906390034632,0.5214004305552018,0.14084276787784542,0.5051289034877906,0.0024619969262760846,0.017410228297533803,0.03280544915597488,0.02639711150844233,-0.007346278766534637,0.007346278766534491,-0.5047711442934245,0.5047711442934253,-0.3696937191343719,0.20599515322048342,-2.2566055532739276e-05,0.09733317351005116,-0.0035237031245727167,0.04095104502087969,-0.02614831064051093,0.09169757838478942,0.028014380114002986,-0.2408322487049431,-0.0935408399712669,0.30273552838025336,-0.05158263780932712,-0.0265799613073367,0.023258646118622255,0.09299771448082726,0.0789211471244617,0.012801383940251185,-0.03218900185125723,-0.06796148312921524,0.01827190643028614,0.018809378911841746,0.21750165654371223,-0.05765254364548407,-0.038733676300212926,0.10011280387638744,-0.03941724499510336,-0.05765254364548407,0.00708778002376914,0.0574399981553066,0.03931015410826641,0.0399385259125564,0.008321220511037395,0.04391438262879901,0.033856346471294936,0.08614901408576366,-0.07969495317990287,-0.03524257230300924,0.0026585088306667467,0.00100810291015781,-0.03533214422983367,0.03686965729636585,0.06460714340034801,0.02260622103705076,0.05809688990957476,-0.010215273771178989,0.011838260831148254,-0.03228365630853437,-0.0013551020705681177,0.006322051606649957,-0.012057882688043546,-0.0067702547806815,-0.00666021573516258,-0.060360457497000905,-0.00043429912120579293,0.0009685095457527125,-0.06657795711997044,0.025433186066110065,0.04913842395507836,0.04041034394275886,0.06453767944092381,-0.002520413241968475,-0.02905419792572006
netHabitableSurface,0.16927588544835384,-0.005145334318718808,0.18451536150446712,1.0,-0.05997159051949696,0.1349548817203204,-0.10629307720821658,-0.10217040060061477,0.049087550488914874,,-0.03659580540282951,,0.02284538764454905,0.11048015402054782,0.016680691136539444,0.10528123000873049,0.020829877712180617,0.11264913360030462,-0.0009087316977841466,0.004993880110795724,0.00883326894969563,-0.011515985688394625,0.00013611049376959896,-0.0001361104937696799,-0.18377981111298083,0.18377981111298103,-0.1465971599172213,0.034053912903275314,-0.001236321254688657,0.05414318904292801,-0.006538346420290892,0.021249542528617577,-0.022141284378274558,0.11287925470298817,0.1756891606672194,-0.043810899995883834,-0.03142645817977681,0.06385919524774696,-0.0115893414241377,0.005360422104454075,0.23098793011685456,0.027401512128708713,0.0332481508734181,0.004988995982253486,-0.014742959875667271,-0.015821764665858353,0.0005696982694650859,-0.0016411680320809969,0.10665458309259224,-0.035940628761140306,0.005901852791577097,0.025657292644094772,-0.0004245955210601343,-0.035940628761140306,0.012736435697318783,0.008620041829641378,0.020923808278941008,0.011727807184479404,0.0030162528494057385,0.026319557758782162,-0.0017217115516733807,0.008613744611522183,-0.01795231929481787,-0.012316285284994236,-0.013211580569065264,-0.00958027506675891,-0.006142115348588422,0.008712831575384791,0.04565661737851912,0.024197840528814695,0.0008197092920611735,-0.00027642384429184876,0.0012235834141790598,-0.0021177207661467294,0.01840989161740604,-0.01236166983703458,-0.003227893315818038,-0.0070995710828607025,-0.0013451640747439149,-0.025060186147458075,0.00462371319826508,0.007906613578023086,-0.03799659805262789,-0.0037932613790929285,0.0003931715390519526,0.0003982095034853764,0.06279932520409107,-0.0003034863092799541,0.011600378479932633
constructionYear,0.028858288023757755,0.003844816746505992,-0.1717093622846692,-0.05997159051949696,1.0,-0.03768177930541434,0.11960009946399054,0.30208144220922256,-0.07520171041024895,,0.184584502047034,,-0.016919463882736033,0.013200515418019582,0.021104909035824366,-0.0784587878724567,-0.06370344236416993,-0.09172432293205264,0.01222069637637156,0.022470667435033526,-0.0772717626032839,0.051975526758388395,0.025863073555341447,-0.025863073555341606,0.31296137058127843,-0.31296137058127865,0.23545041672136635,-0.11956666450273952,-0.009586826177346451,-0.03961806988637177,0.014112713222164555,-0.08423154976647935,0.03398172994948666,-0.026938230605799952,-0.09550199129378537,0.018974734122475585,0.06868717513199536,-0.25004306066581805,0.024171623566895777,-0.039149309384188945,-0.03117663936338629,-0.12884146362148197,-0.0732085806369645,-0.009524616671335324,0.10177255128093136,0.07614976107174179,-0.010503496653127916,-0.006707867675657372,0.03638030130428269,-0.12196860420128595,0.12929410276856645,-0.046574706016053784,0.008635832381769485,-0.12196860420128595,0.07561656108481664,-0.018422861550711923,-0.02230297906932945,0.015234275911702606,-0.06320618392454956,0.028552374032647126,-0.006583970575269786,-0.013321057465781987,0.0809417427289158,0.27142771835908136,-0.08761169339496765,-0.12407675723426574,0.16381242211335598,-0.16373099080154482,-0.267868112006777,-0.06373109434517489,0.07606049599130225,0.025337111584824736,-0.09959157000431756,-0.02515020264708421,-0.14761026862370558,0.12051590948604307,0.012352079968364205,-0.03744451672043926,0.009105762249945273,0.276947129810225,0.04774665441982217,0.046406228147029896,0.1368024867349053,-0.07019488672718875,-0.16443942068136994,-0.16812010719629228,-0.24771032181526006,-0.19451660532640663,0.25759068746913644
facadeCount,0.16264656280463116,-0.011131904446830928,0.2429851650163779,0.1349548817203204,-0.03768177930541434,1.0,-0.18385794125362573,-0.2269428157191332,0.11022935683923116,,0.039977126400050716,,0.10632968726830253,0.14510194596933598,0.05274786147845046,0.10595623925402421,0.04738805452238786,0.18473194703422288,0.006292668461198607,0.02066747428241763,0.03103352417879199,-0.009700150638585276,-0.0058362864371739554,0.005836286437173944,-0.3628315251841867,0.3628315251841869,-0.305185654128999,-0.009220717273508835,0.07404002962346842,0.03354500665377825,0.05813328729194707,0.05898418064798701,-0.06098913527573621,0.08026840965612264,0.05545091728408405,-0.09071355419339781,-0.022752549740102844,0.19396880331107944,-0.026191157875993454,-0.004199659547947462,0.030225106991467025,0.010391575579724411,0.003622483135055303,0.00669674207627677,-0.021037429743269186,0.029523309938170757,-0.013586864616722571,-0.006769307991164468,0.2811558377156056,-0.07133069827868534,-0.10784153451205913,0.19715236546701176,-0.02007430395056135,-0.07133069827868534,-0.03257691265682809,0.08231569902190762,0.08631509198420009,0.0196527263616299,0.07084317904544916,0.06837358999953973,0.07515729008621708,0.10769340863046088,-0.15271225132579966,-0.02755970948794745,0.08810455157644402,-0.006903905495888687,-0.12617988563950158,0.04633076320879177,0.04744946841862634,0.009680743554195247,0.06709846120176735,0.00860658630526504,0.02060812958356014,-0.10262846581612223,0.028276302782190014,0.03146967570696786,0.017123944768349164,-0.00014480199112618737,0.0076606476147862085,-0.03434245621192612,-0.004589813907129546,0.021046697865986667,-0.0640445010885698,0.01865108206298117,0.03677749733262339,0.025787371549620283,0.08235340351697827,0.02830051377668664,-0.05404371817186648
floorCount,-0.04689007381190591,0.035814606157919024,-0.3037081042532222,-0.10629307720821658,0.11960009946399054,-0.18385794125362573,1.0,0.579496506528104,-0.27912421762303097,,0.13430357381799551,,-0.01815593274011322,-0.05985212079001312,-0.02870875772639913,-0.059071807794038235,0.0008772563106640442,-0.16584239558077168,-0.0055926252729292525,0.006107153549632064,-0.03436201662315173,0.003508384252554216,0.0313728258779167,-0.03137282587791667,0.5746835852654351,-0.5746835852654355,0.4743346243573587,-0.07695232586602543,-0.04485239266738832,-0.014391998365347566,-0.02494124339616863,-0.040355531758617245,0.03639436271012444,-0.049654440009792626,-0.02757858860148721,0.16714051170338395,0.009902363216152834,-0.4468142864606112,0.04178095502311406,0.010612962090606578,-0.018583359904312088,-0.045239459314594443,-0.05989384168931436,-0.011749952234121012,0.11190492678224026,0.005067163037477155,-0.05272932522802088,0.00649702723181168,-0.15849314267157294,0.322797074830076,-0.12995134516205814,-0.13632545460080606,0.008039738803864306,0.322797074830076,-0.09970702342004178,-0.10715143902705593,-0.0802549152342338,-0.10707317905608345,-0.03630171240791661,-0.049607732318955364,-0.05174738651030215,-0.06676379498506745,0.07335708557707427,0.0665661058147455,-0.0006560543481721058,0.019228697640771127,-0.016905901105869744,-0.007635437845597723,-0.08238921099104826,-0.026193047062551746,0.039102528160210204,-0.02562565540004637,-0.020948201997908013,-0.06830239867048692,0.02028840001411926,0.08501819363218659,0.04108718200015758,0.018399616150898416,-0.0060592390078615405,0.0177247258643293,0.0015993682707784508,-0.020441021662467147,0.10325441295631287,0.021786042849915633,-0.028702291157665958,-0.03161104100871945,-0.1210971461243033,-0.0037218514180404924,0.0008592121937086657
hasLift,-0.015094000681747386,0.016429549551964184,-0.2993480961962356,-0.10217040060061477,0.30208144220922256,-0.2269428157191332,0.579496506528104,1.0,-0.27106553589617116,,0.2195300765716773,,-0.03133159013967405,-0.07038613017225216,-0.011075857371378874,-0.035773636501851384,-0.006276987161140147,-0.1599556497489246,-0.006212274552922422,0.008590235116647546,-0.04914361701488052,0.03983824831192801,0.03743261306158822,-0.037432613061588176,0.6348716124923287,-0.6348716124923292,0.514941410188005,-0.07077689573864962,-0.051295693359046365,-0.008208062491080114,-0.028524194522479212,-0.0431991457725139,0.032679055676249985,-0.05197598771974791,-0.031540409330397846,0.12327946866583521,0.06481871457536344,-0.5016887292623853,0.012675104099682909,0.0171427353655703,-0.014860277022129066,-0.04910066879798336,-0.05849622277552541,-0.0033329213903613764,0.15094433443004862,0.04098970547614007,-0.06030419197441378,-0.006108967810926328,-0.1716823587774949,0.19888220270698395,-0.04196198385198493,-0.13059888001522763,-0.011227082964442905,0.19888220270698395,-0.018871294710866886,-0.08839846383343113,-0.08321463283189005,-0.09136015901751422,-0.046066839416621826,-0.03888511620039974,-0.05674314695606759,-0.04572900985350985,0.10019599370552791,0.15078331121179545,-0.010503299452938463,-0.014288986703814129,-0.006778306814679734,-0.058777049449164454,-0.1387498789478739,-0.029543061874696366,0.08123290479181643,0.0002790490908743179,-0.04881249507811221,-0.08932105273460726,-0.04387395252208877,0.11443449843011809,0.03834357918089821,-0.010584535367987907,0.0047881332543757696,0.11624486319888874,0.007270260115480911,-0.023757636714567824,0.13031428300499903,-0.028960430848539814,-0.07734507183237574,-0.07825821066211121,-0.1592748114488937,-0.06261375148754517,0.08202186979925495
hasGarden,0.09279786951124376,-0.019006489796809505,0.22034805034963886,0.049087550488914874,-0.07520171041024895,0.11022935683923116,-0.27912421762303097,-0.27106553589617116,1.0,,0.033678417240623926,,0.09989796363500081,0.07090021962306516,0.029350848125896927,0.0627844957075643,0.0425529016365728,0.17952505392137394,-0.0058578601747133726,0.0007499662077564495,0.031448557271898096,0.02676633588666638,0.04769108711694367,-0.047691087116944225,-0.3867651726476498,0.3867651726476501,-0.322794919917229,-0.005493476401595985,0.047910946303803416,0.008523266027387387,-0.009136628287167655,0.037232655972506336,-0.07936259877878934,0.037853128205883504,0.003355274748239902,-0.08337698863637233,0.06107777899828906,0.30563758070805985,-0.019499994360102517,-0.03057504214001748,-0.0018199143922132187,0.02811480441370721,0.00035491939055105415,-0.01331463478013034,-0.07576376496735342,-0.04017746966138491,0.05169766314069932,-0.019729999576194545,0.13830580942403306,-0.12120294334566925,0.012629514846857726,0.09542059612259972,-0.01990778082812515,-0.12120294334566925,0.05517222674315469,0.027349087623453592,0.031069549327342006,0.048626387633668444,0.022114760303730337,0.018309066911745768,0.018446472613204198,0.10052794428756723,-0.0657267209268901,0.013860923150417342,-0.06153972136545558,0.024645602753690314,0.00389915216716106,0.013489862891552108,0.042610482413256094,0.0017388225286730501,0.010393077260410931,0.08604284650288989,0.016355558639024912,-0.1021621325841719,0.01897066967079914,-0.014609695448913773,0.0014039250391423134,-0.00993908363964128,-0.009414015243592153,-0.03039868485489035,0.0033552747482398105,0.009989287831417828,-0.08495187416255413,0.009547160142652045,0.02758922749082124,0.019211215774874033,0.06715752503376952,0.009207359272301832,0.008305985052957402
gardenSurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
